Provincia;Población;Superficie de la provincia (km2);Densidad Poblacional
AZUAY;801.609;8.173;98
BOLÍVAR;199.078;3.957;50
CAÑAR;227.578;3.647;62
CARCHI;172.828;3.783;46
COTOPAXI;470.210;6.188;76
CHIMBORAZO;471.933;6.116;77
EL ORO;714.592;5.870;122
ESMERALDAS;553.900;15.836;35
GUAYAS;4.391.923;15.900;276
IMBABURA;469.879;4.791;98
LOJA;485.421;11.064;44
LOS RÍOS;898.652;7.238;124
MANABÍ;1.592.840;19.517;82
MORONA SANTIAGO;192.508;24.004;8
NAPO;131.675;12.542;10
PASTAZA;111.915;29.647;4
PICHINCHA;3.089.473;9.453;327
TUNGURAHUA;563.532;3.386;166
ZAMORA CHINCHIPE;110.973;10.565;11
GALÁPAGOS;28.583;8.233;3
SUCUMBÍOS;199.014;18.098;11
ORELLANA;182.166;21.729;8
SANTO DOMINGO DE LOS TSÁCHILAS;492.969;3.780;130
SANTA ELENA;385.735;3.688;105